Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
1.99,1.92,2.85,2.58,2.21,3.45,0.45,3.13,1.74,4.5,3.51,5.3,4.8
2.09,2.09,3.08,2.85,2.38,3.8,0.46,3.54,1.8,5.24,3.99,6.31,5.63
2.15,2.09,3.1,2.83,2.41,3.86,0.46,3.5,1.94,5.24,4.03,6.31,5.69
2.11,2.09,3.11,2.9,2.42,3.88,0.46,3.51,1.65,5.24,3.99,6.28,5.59
2.11,2.1,3.08,2.78,2.38,3.84,0.45,3.55,1.59,5.2,4.03,6.31,5.66
2.14,2.09,3.1,2.84,2.38,3.81,0.47,3.47,1.52,5.2,3.99,6.28,5.55
2.17,2.06,3.08,2.8,2.4,3.84,0.45,3.5,1.74,5.14,3.99,6.22,5.55
2.14,2.09,3.08,2.85,2.45,3.78,0.46,3.51,1.52,5.24,4.01,6.28,5.63
2.15,2.09,3.1,2.84,2.42,3.81,0.46,3.54,1.79,5.18,3.99,6.4,5.59
2.15,2.09,3.08,2.84,2.38,3.81,0.46,3.51,1.75,5.3,4.01,6.31,5.59
2.17,2.09,3.08,2.85,2.4,3.84,0.46,3.54,2.11,5.26,4.03,6.31,5.63
2.15,2.09,3.06,2.84,2.34,3.78,0.46,3.58,1.81,5.3,4.07,6.31,5.66
2.15,2.06,3.05,2.91,2.34,3.8,0.46,3.5,1.98,5.24,3.99,6.28,5.59
2.16,2.09,3.06,2.84,2.38,3.81,0.47,3.54,2.15,5.26,3.94,6.36,5.63
2.17,2.13,3.11,2.84,2.36,3.88,0.47,3.51,2.13,5.24,4.01,6.31,5.59
2.11,2.1,3.08,2.88,2.39,3.86,0.46,3.51,2.14,5.24,3.99,6.31,5.63
2.17,2.09,3.1,2.92,2.4,3.84,0.45,3.51,2.13,5.2,4.03,6.31,5.55
2.19,2.1,3.08,2.84,2.39,3.86,0.46,3.5,2.1,5.24,4.05,6.31,5.66
