Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.05,1.69,2.41,2.91,2.94,4.75,0.55,2.42,1.91,6.74,2.81,5.34,6.36
2.01,1.66,2.38,2.88,2.84,4.59,0.51,2.41,1.86,6.45,2.78,5.24,6.18
1.99,1.66,2.36,2.91,2.85,4.59,0.51,2.38,1.86,6.45,2.74,5.18,6.14
1.96,1.69,2.4,2.99,2.92,4.75,0.54,2.41,1.89,6.89,2.69,5.3,6.4
2.09,1.7,2.44,3.06,2.97,4.99,0.55,2.5,1.94,7.21,2.92,5.59,6.64
2.0,1.69,2.39,2.96,2.9,4.66,0.54,2.46,1.88,6.45,2.8,5.24,6.22
2.04,1.69,2.4,2.94,2.94,4.69,0.52,2.47,1.86,6.64,2.8,5.26,6.28
2.05,1.69,2.4,3.05,2.83,4.69,0.56,2.46,1.89,6.74,2.81,5.34,6.31
2.1,1.7,2.36,2.89,2.8,4.66,0.52,2.42,1.91,6.54,2.84,5.26,6.1
2.09,1.7,2.42,3.05,2.89,4.72,0.56,2.47,1.94,6.79,2.58,5.18,6.28
2.11,1.64,2.39,2.94,2.9,4.64,0.52,2.41,1.9,6.59,2.8,5.26,6.28
2.04,1.66,2.38,3.03,2.78,4.66,0.52,2.41,1.91,6.59,2.79,5.24,6.28
2.03,1.67,2.42,3.03,2.94,4.8,0.54,2.51,1.94,6.89,2.89,5.51,6.5
1.81,1.67,2.42,3.06,2.88,4.75,0.55,2.45,1.94,6.69,2.85,5.38,6.31
2.09,1.71,2.47,3.14,2.95,4.86,0.54,2.54,1.98,7.0,2.94,5.63,6.59
2.09,1.71,2.5,3.14,2.9,4.8,0.54,2.53,1.99,7.0,2.95,5.59,6.59
2.13,1.69,2.41,3.06,2.96,4.84,0.52,2.51,1.98,6.74,2.91,5.44,6.4
2.04,1.74,2.47,3.06,2.99,4.8,0.54,2.54,2.0,6.94,2.94,5.51,6.54
2.1,1.71,2.47,3.05,2.99,4.8,0.55,2.54,2.0,6.94,2.94,5.59,6.59
2.03,1.69,2.39,2.92,2.84,4.56,0.54,2.5,1.99,6.74,2.92,5.47,6.28
2.0,1.7,2.44,3.08,2.95,4.64,0.55,2.5,1.92,6.54,2.88,5.38,6.36
1.96,1.67,2.35,2.9,2.88,4.56,0.54,2.42,1.89,6.4,2.76,5.07,6.01
1.91,1.59,2.21,2.72,2.67,4.14,0.51,2.29,1.75,5.47,2.59,4.64,5.38
2.0,1.67,2.36,2.92,2.9,4.56,0.54,2.41,1.86,6.36,2.74,5.1,5.97
2.08,1.65,2.36,2.92,2.88,4.61,0.55,2.44,1.86,6.5,2.84,5.3,6.05
2.09,1.71,2.44,3.13,2.96,4.89,0.54,2.46,1.89,6.74,2.84,5.38,6.64
2.16,1.73,2.46,3.06,2.97,4.93,0.52,2.51,1.92,7.0,2.9,5.55,6.69
2.14,1.71,2.45,3.1,3.05,4.99,0.5,2.42,1.89,6.94,2.89,5.47,6.59
2.14,1.71,2.45,3.14,3.04,5.07,0.56,2.55,1.94,7.05,2.95,5.66,6.79
2.15,1.71,2.47,3.11,3.04,4.99,0.55,2.55,1.94,7.0,2.91,5.55,6.59
2.19,1.71,2.47,3.06,2.96,4.19,0.56,2.55,1.88,7.16,2.91,5.63,6.69
2.09,1.71,2.47,3.04,3.05,5.14,0.55,2.51,1.91,7.1,2.91,5.69,6.79
2.11,1.7,2.44,3.11,3.1,5.05,0.56,2.53,1.89,7.16,2.96,5.74,6.69
2.21,1.7,2.44,3.13,3.08,5.07,0.56,2.56,1.94,7.21,2.97,5.69,6.79
2.14,1.73,2.47,3.06,3.1,5.05,0.55,2.56,1.96,7.16,2.97,5.69,6.84
2.16,1.75,2.38,3.05,3.06,4.95,0.52,2.58,1.96,7.28,2.97,5.74,6.64
2.11,1.76,2.55,3.14,3.1,5.14,0.51,2.61,1.98,7.16,3.04,5.81,6.54
2.03,1.71,2.5,3.17,3.17,5.14,0.55,2.56,1.83,7.05,2.94,5.55,6.5
2.04,1.75,2.49,3.08,3.14,5.07,0.54,2.59,1.8,7.0,3.01,5.59,6.4
2.1,1.75,2.42,3.08,3.06,5.07,0.57,2.54,1.79,7.1,2.95,5.55,6.45
2.06,1.71,2.47,3.11,3.1,5.01,0.55,2.55,1.85,6.79,2.91,5.47,6.31
2.11,1.71,2.5,3.13,3.08,5.07,0.57,2.56,1.88,6.94,2.94,5.51,6.54
1.99,1.74,2.5,3.11,3.08,5.05,0.56,2.55,1.88,7.0,2.97,5.59,6.54
2.05,1.7,2.5,3.1,3.08,5.07,0.6,2.58,1.86,6.94,2.99,5.63,6.45
2.06,1.74,2.5,3.13,3.08,5.1,0.6,2.58,1.89,7.05,2.99,5.63,5.66
2.09,1.73,2.51,3.17,3.17,5.18,0.56,2.51,1.85,6.94,2.96,5.44,6.54
1.74,1.48,2.04,2.53,2.36,3.81,0.55,2.15,1.6,4.66,2.45,3.92,4.75
2.06,1.69,2.28,2.84,2.84,4.99,0.55,2.5,1.71,6.69,2.91,5.4,6.69
2.04,1.75,2.42,3.1,3.08,5.07,0.56,2.51,1.75,6.79,2.95,5.34,6.14
2.08,1.7,2.39,3.13,3.03,5.01,0.56,2.51,1.74,6.84,2.96,5.55,6.5
2.0,1.7,2.39,3.06,3.06,5.01,0.56,2.53,1.76,6.79,2.95,5.47,6.36
2.11,1.71,2.39,3.11,3.19,5.14,0.57,2.54,1.79,6.89,2.94,5.63,6.54
2.05,1.66,2.3,2.91,2.91,4.66,0.55,2.4,1.7,6.36,2.76,5.14,5.85
1.99,1.64,2.3,2.99,2.95,4.8,0.57,2.4,1.7,6.31,2.8,5.14,5.89
2.0,1.66,2.26,3.01,2.88,4.69,0.55,2.41,1.7,6.45,2.81,5.24,6.05
2.0,1.7,2.36,3.06,3.06,4.95,0.56,2.47,1.75,6.79,2.89,5.55,6.4
1.92,1.63,2.17,2.79,2.9,4.45,0.57,2.36,1.69,6.05,2.74,5.01,5.85
1.88,1.59,2.17,2.8,2.81,4.45,0.56,2.44,1.64,5.81,2.63,4.64,5.26
