Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.21,2.29,3.3,2.11,2.11,2.81,0.95,4.75,0.01,3.3,0.0,4.64,4.72
2.2,2.28,3.21,2.01,2.1,2.75,0.95,4.8,0.01,3.24,0.0,4.64,4.69
2.19,2.26,3.26,2.06,2.11,2.71,0.98,4.84,0.01,3.31,0.0,4.64,4.69
2.16,2.28,3.31,2.05,2.15,2.75,0.96,4.86,0.0,3.3,0.0,4.61,4.8
2.16,2.25,3.26,2.06,2.13,2.76,0.96,4.89,0.01,3.3,0.0,4.72,4.8
2.2,2.29,3.28,2.13,2.16,2.75,0.98,4.89,0.0,3.3,0.0,4.64,4.72
2.2,2.26,3.35,2.05,2.13,2.78,0.95,4.86,0.0,3.25,0.0,4.64,4.72
2.21,2.28,3.33,2.11,2.13,2.8,0.98,4.89,0.0,3.25,0.0,4.66,4.78
2.17,2.31,3.25,2.06,2.11,2.79,0.96,4.93,0.0,3.28,0.0,4.69,4.66
2.21,2.28,3.28,2.08,2.15,2.78,0.98,4.89,0.0,3.31,0.0,4.61,4.78
2.25,2.24,3.28,2.08,2.11,2.83,0.98,4.95,0.01,3.31,0.0,4.56,4.61
2.21,2.26,3.3,2.08,2.09,2.74,0.96,4.86,0.0,3.31,0.0,4.64,4.78
2.26,2.22,3.19,2.11,2.14,2.8,0.96,4.95,0.0,3.35,0.0,4.61,4.72
2.21,2.22,3.28,2.06,2.09,2.76,0.96,4.84,0.0,3.28,0.0,4.66,4.72
2.16,2.2,3.28,2.08,2.13,2.78,0.96,4.78,0.01,3.35,0.0,4.64,4.72
2.2,2.25,3.28,2.06,2.11,2.72,0.96,4.86,0.0,3.28,0.0,4.64,4.69
2.19,2.24,3.26,2.06,2.11,2.76,0.98,4.89,0.0,3.31,0.0,4.53,4.78
2.15,2.24,3.33,2.06,2.19,2.72,0.95,5.05,0.0,2.94,0.0,4.64,4.69
2.21,2.22,3.24,2.09,2.1,2.75,0.96,4.89,0.0,3.33,0.0,4.59,4.64
2.2,2.26,3.28,2.08,2.15,2.79,0.94,5.01,0.0,3.4,0.0,4.64,4.75
2.19,2.26,3.28,2.1,2.1,2.78,0.96,4.89,0.0,3.33,0.0,4.64,4.69
2.2,2.28,3.26,2.11,2.1,2.74,0.98,4.84,0.0,3.33,0.0,4.64,4.78
2.19,2.25,3.26,2.09,2.15,2.76,0.99,4.78,0.01,3.41,0.0,4.56,4.64
2.19,2.22,3.31,2.14,2.11,2.76,0.99,4.89,0.0,3.33,0.0,4.61,4.64
2.17,2.24,3.31,2.08,2.14,2.75,0.98,4.86,0.0,3.3,0.0,4.66,4.75
2.2,2.25,3.28,2.08,2.17,2.8,0.98,4.89,0.0,3.33,0.0,4.66,4.69
2.25,2.24,3.3,2.09,2.14,2.84,0.98,4.84,0.0,3.3,0.0,4.66,4.72
2.19,2.2,3.25,2.06,2.15,2.79,0.96,4.84,0.0,3.36,0.0,4.56,4.75
2.17,2.26,3.3,2.09,2.15,2.76,0.96,4.86,0.01,3.35,0.0,4.61,4.75
2.15,2.16,3.21,2.06,2.15,2.75,0.95,4.93,0.0,3.31,0.0,4.59,4.64
2.17,2.22,3.26,2.08,2.15,2.78,0.99,4.78,0.01,3.31,0.0,4.64,4.72
2.16,2.26,3.25,2.09,2.15,2.8,0.95,4.93,0.01,3.31,0.0,4.64,4.72
2.1,2.21,3.25,2.09,2.15,2.76,0.96,4.86,0.0,3.33,0.0,4.56,4.66
2.19,2.25,3.3,2.13,2.16,2.75,0.98,4.89,0.0,3.33,0.0,4.66,4.75
2.19,2.21,3.26,2.09,2.16,2.81,0.96,4.84,0.0,3.36,0.0,4.53,4.78
2.19,2.21,3.24,2.11,2.13,2.76,0.95,4.8,0.0,3.31,0.0,4.56,4.69
2.15,2.21,3.25,2.1,2.16,2.78,0.96,4.93,0.0,3.28,0.0,4.66,4.69
2.17,2.21,3.25,2.08,2.15,2.8,0.95,4.95,0.01,3.38,0.0,4.59,4.66
2.19,2.14,3.28,2.09,2.13,2.76,0.96,4.86,0.0,3.35,0.0,4.59,4.75
2.26,2.24,3.31,2.09,2.19,2.81,0.95,4.99,0.01,3.33,0.0,4.59,4.69
2.19,2.24,3.26,2.04,2.17,2.79,0.95,4.89,0.0,3.35,0.0,4.56,4.69
2.19,2.22,3.28,2.09,2.15,2.8,0.96,4.89,0.01,3.36,0.0,4.69,4.75
2.19,2.17,3.35,2.06,2.15,2.8,0.96,4.84,0.01,3.33,0.0,4.61,4.66
2.15,2.19,3.35,2.11,2.14,2.79,0.96,4.75,0.0,3.35,0.0,4.59,4.69
2.17,2.22,3.28,2.06,2.21,2.79,0.95,4.84,0.0,3.38,0.0,4.66,4.72
2.19,2.25,3.28,2.06,2.15,2.79,0.95,4.84,0.03,3.28,0.0,4.56,4.72
2.11,2.25,3.28,2.08,2.15,2.76,0.95,4.75,0.0,3.3,0.0,4.59,4.69
2.16,2.3,3.3,2.11,2.2,2.85,0.96,4.84,0.0,3.36,0.0,4.53,4.8
2.15,2.2,3.17,2.03,2.15,2.8,0.94,4.84,0.0,3.3,0.0,4.59,4.66
2.21,2.3,3.4,2.14,2.19,2.83,0.96,4.93,0.0,3.36,0.0,4.72,4.69
2.25,2.28,3.35,2.14,2.19,2.84,1.0,5.01,0.01,3.4,0.0,4.72,4.78
2.17,2.22,3.3,2.11,2.17,2.83,0.98,4.95,0.0,3.4,0.0,4.69,4.8
2.29,2.33,3.36,2.15,2.2,2.81,0.98,5.05,0.01,3.42,0.0,4.72,4.86
2.24,2.31,3.33,2.13,2.19,2.81,0.98,4.99,0.0,3.38,0.0,4.69,4.86
2.25,2.26,3.33,2.1,2.19,2.83,1.0,5.01,0.0,3.41,0.0,4.84,4.89
2.26,2.26,3.28,2.14,2.15,2.91,1.0,5.07,0.0,3.4,0.0,4.75,4.84
2.22,2.28,3.35,2.06,2.19,2.85,0.99,4.99,0.0,3.41,0.0,4.72,4.86
2.22,2.26,3.35,2.11,2.17,2.83,1.0,4.99,0.01,3.45,0.0,4.75,4.84
2.2,2.22,3.3,2.11,2.19,2.84,0.99,5.01,0.0,3.41,0.0,4.78,4.86
2.3,2.33,3.36,2.11,2.17,2.85,0.96,5.05,0.0,3.42,0.0,4.66,4.8
2.22,2.26,3.41,2.15,2.24,2.9,0.95,4.93,0.01,3.45,0.0,4.75,4.95
2.2,2.28,3.38,2.1,2.2,2.85,0.98,5.05,0.0,3.42,0.0,4.78,4.89
2.22,2.29,3.36,2.04,2.19,2.81,0.95,4.95,0.0,3.38,0.0,4.72,4.8
2.28,2.29,3.4,2.15,2.22,2.88,0.98,5.05,0.0,3.45,0.0,4.69,4.78
2.22,2.28,3.35,2.1,2.26,2.89,0.96,5.07,0.01,3.5,0.0,4.72,4.8
2.25,2.33,3.36,2.11,2.19,2.85,0.98,5.07,0.01,3.45,0.0,4.66,4.84
2.2,2.29,3.31,2.11,2.2,2.84,0.96,5.07,0.03,3.41,0.0,4.8,4.61
2.24,2.28,3.41,2.11,2.21,2.84,0.99,4.99,0.01,3.41,0.0,4.75,4.93
2.21,2.3,3.26,2.09,2.19,2.8,0.95,4.99,0.01,3.46,0.0,4.69,4.8
2.21,2.28,3.33,2.14,2.24,2.8,0.95,4.99,0.01,3.5,0.0,4.75,4.84
2.26,2.34,3.36,2.15,2.19,2.84,0.96,5.01,0.0,3.45,0.0,4.78,4.86
2.21,2.26,3.36,2.1,2.15,2.83,0.95,4.89,0.0,3.41,0.0,4.72,4.8
2.22,2.3,3.4,2.11,2.2,2.85,0.98,4.99,0.01,3.46,0.0,4.78,4.89
2.21,2.25,3.33,2.1,2.2,2.88,0.99,4.99,0.0,3.42,0.0,4.78,4.8
2.15,2.22,3.28,2.15,2.17,2.81,0.96,4.99,0.01,3.5,0.0,4.3,4.72
2.22,2.28,3.36,2.19,2.21,2.88,0.95,4.89,0.01,3.5,0.0,4.75,4.86
2.19,2.26,3.33,2.08,2.21,2.83,0.96,4.95,0.0,3.46,0.0,4.75,4.89
2.2,2.31,3.38,2.09,2.2,2.78,1.0,5.07,0.01,3.42,0.0,4.72,4.89
2.22,2.33,3.36,2.09,2.24,2.89,0.96,5.05,0.0,3.42,0.0,4.8,4.75
2.24,2.26,3.33,2.11,2.2,2.83,0.96,4.95,0.0,3.46,0.0,4.66,4.75
2.25,2.31,3.33,2.14,2.16,2.85,0.96,5.01,0.0,3.42,0.0,4.75,4.86
2.25,2.29,3.33,2.13,2.25,2.83,0.95,5.01,0.0,3.45,0.0,4.75,4.86
2.21,2.26,3.33,2.1,2.19,2.84,0.98,4.99,0.0,3.46,0.0,4.69,4.84
2.25,2.26,3.28,2.17,2.17,2.81,0.95,4.99,0.0,3.45,0.0,4.75,4.84
2.19,2.24,3.33,2.13,2.2,2.81,0.95,5.05,0.0,3.45,0.0,4.69,4.8
2.21,2.26,3.4,2.09,2.21,2.85,1.0,4.86,0.0,3.42,0.0,4.75,4.86
2.21,2.28,3.33,2.11,2.24,2.76,0.95,5.01,0.0,3.42,0.0,4.75,4.8
2.26,2.26,3.36,2.11,2.22,2.85,0.99,4.99,0.0,3.42,0.0,4.72,4.8
2.3,2.28,3.36,2.11,2.2,2.9,0.95,4.95,0.0,3.42,0.0,4.66,4.86
2.22,2.28,3.33,2.13,2.15,2.83,0.98,4.95,0.0,3.26,0.0,4.64,4.56
2.21,2.29,3.38,2.11,2.2,2.84,1.0,4.95,0.0,3.54,0.0,4.8,4.84
2.19,2.29,3.28,2.11,2.21,2.84,0.99,5.01,0.0,3.47,0.0,4.84,4.95
2.28,2.3,3.36,2.11,2.17,2.91,0.98,4.95,0.0,3.41,0.0,4.75,4.84
2.25,2.34,3.35,2.15,2.19,2.8,0.98,4.99,0.0,3.41,0.0,4.78,4.8
2.21,2.26,3.33,2.11,2.2,2.81,0.99,5.07,0.01,3.42,0.0,4.86,4.95
2.26,2.36,3.36,2.16,2.21,2.81,0.98,5.01,0.0,3.45,0.0,4.8,4.84
2.26,2.33,3.33,2.1,2.21,2.83,0.99,4.95,0.0,3.41,0.0,4.66,4.78
2.21,2.28,3.36,2.11,2.21,2.9,1.01,5.07,0.03,3.45,0.0,4.78,4.84
2.29,2.31,3.38,2.13,2.21,2.81,0.99,4.99,0.01,3.47,0.0,4.78,4.84
2.3,2.29,3.35,2.11,2.22,2.79,0.98,4.84,0.0,3.4,0.0,4.75,4.66
2.26,2.3,3.35,2.14,2.21,2.81,0.99,4.99,0.0,3.42,0.0,4.89,4.3
2.17,2.13,3.19,2.08,2.06,2.76,0.88,4.78,0.0,3.41,0.0,5.2,4.03
2.21,2.26,3.26,2.11,2.15,2.71,0.88,4.86,0.0,3.45,0.0,5.2,4.53
2.22,2.4,3.38,2.11,2.21,2.81,0.96,4.84,0.01,3.51,0.0,4.8,4.53
2.16,2.34,3.4,2.14,2.25,2.81,0.91,4.99,0.01,3.54,0.0,4.84,4.64
2.22,2.34,3.26,2.13,2.2,2.8,0.93,4.89,0.0,3.51,0.0,4.86,4.75
2.22,2.35,3.4,2.16,2.28,2.88,0.95,4.99,0.0,3.58,0.0,4.78,4.69
2.21,2.33,3.35,2.15,2.21,2.81,0.96,4.99,0.0,3.54,0.0,4.75,4.66
2.26,2.29,3.35,2.15,2.2,2.81,0.91,4.89,0.01,3.59,0.0,4.8,4.78
2.26,2.3,3.31,2.16,2.19,2.88,0.96,4.89,0.0,3.55,0.0,4.84,4.72
2.28,2.33,3.31,2.16,2.21,2.83,0.93,4.89,0.01,3.54,0.0,4.78,4.72
2.25,2.31,3.36,2.15,2.21,2.83,0.94,4.99,0.03,3.54,0.0,4.78,4.75
2.3,2.33,3.36,2.16,2.24,2.8,0.91,4.99,0.0,3.5,0.0,4.8,4.78
2.26,2.29,3.35,2.19,2.24,2.9,0.96,5.01,0.0,3.54,0.0,4.84,4.69
2.3,2.3,3.35,2.16,2.21,2.84,0.96,4.89,0.0,3.58,0.0,4.8,4.84
2.26,2.3,3.35,2.19,2.11,2.89,0.95,4.89,0.0,3.51,0.0,4.8,4.75
2.3,2.21,3.35,2.19,2.2,2.88,0.98,4.95,0.0,3.61,0.0,4.8,4.8
2.29,2.31,3.38,2.19,2.17,2.81,0.94,4.95,0.0,3.58,0.0,4.86,4.78
2.3,2.29,3.41,2.19,2.22,2.84,0.98,4.99,0.0,3.55,0.0,4.75,4.84
2.3,2.35,3.38,2.16,2.22,2.84,0.96,5.05,0.03,3.55,0.0,4.84,4.72
2.3,2.36,3.41,2.21,2.2,2.84,0.96,4.89,0.0,3.51,0.0,4.78,4.75
2.29,2.31,3.36,2.16,2.21,2.83,0.94,4.93,0.0,3.5,0.0,4.8,4.8
2.26,2.31,3.38,2.17,2.2,2.84,0.96,4.93,0.0,3.5,0.0,4.84,4.84
2.29,2.33,3.35,2.17,2.21,2.84,0.95,4.95,0.0,3.51,0.0,4.84,4.78
2.25,2.31,3.38,2.14,2.2,2.85,0.96,4.89,0.0,3.58,0.0,4.86,4.84
2.3,2.33,3.42,2.15,2.21,2.83,0.95,4.95,0.0,3.5,0.0,4.86,4.89
2.34,2.33,3.42,2.14,2.19,2.84,0.95,4.86,0.0,3.51,0.0,4.8,4.78
2.29,2.33,3.41,2.15,2.17,2.9,0.94,4.93,0.01,3.5,0.0,4.8,4.8
2.35,2.36,3.38,2.15,2.19,2.83,0.95,5.01,0.01,3.47,0.0,4.8,4.86
2.28,2.33,3.4,2.15,2.24,2.76,0.96,4.99,0.0,3.47,0.0,4.84,4.8
2.3,2.38,3.41,2.09,2.25,2.88,0.94,4.99,0.0,3.5,0.0,4.86,4.84
2.29,2.34,3.4,2.15,2.21,2.8,0.95,4.99,0.0,3.54,0.0,4.8,4.78
2.26,2.34,3.35,2.15,2.17,2.81,0.98,4.95,0.0,3.5,0.0,4.8,4.78
2.31,2.35,3.4,2.19,2.24,2.83,1.0,5.01,0.01,3.51,0.0,4.84,4.89
2.29,2.33,3.36,2.16,2.2,2.83,1.0,4.84,0.0,3.55,0.0,4.78,4.84
2.28,2.31,3.4,2.14,2.21,2.84,0.99,4.93,0.0,3.55,0.0,4.84,4.86
2.29,2.31,3.4,2.17,2.16,2.83,1.01,4.95,0.0,3.5,0.0,4.8,4.8
2.34,2.36,3.45,2.17,2.2,2.8,0.95,4.93,0.0,3.54,0.0,4.75,4.86
2.28,2.31,3.38,2.15,2.19,2.84,0.96,4.93,0.0,3.55,0.0,4.8,4.8
2.3,2.34,3.4,2.14,2.25,2.78,0.99,4.93,0.0,3.5,0.0,4.84,4.89
2.29,2.33,3.41,2.17,2.19,2.84,1.01,5.05,0.01,3.61,0.0,4.86,4.78
2.36,2.35,3.41,2.17,2.21,2.89,0.96,4.93,0.0,3.54,0.0,4.89,4.75
2.33,2.36,3.4,2.15,2.19,2.85,1.01,4.99,0.0,3.51,0.0,4.89,4.72
2.29,2.35,3.4,2.15,2.24,2.9,0.96,4.99,0.0,3.58,0.0,4.89,4.84
2.3,2.36,3.38,2.15,2.2,2.84,0.94,4.99,0.0,3.58,0.0,4.99,4.84
2.26,2.33,3.38,2.15,2.22,2.83,0.95,4.99,0.0,3.55,0.0,4.99,4.78
2.3,2.31,3.38,2.15,2.21,2.84,0.95,4.95,0.0,3.54,0.0,4.93,4.72
2.3,2.34,3.41,2.15,2.19,2.9,0.99,4.99,0.0,3.59,0.0,5.01,4.86
2.35,2.36,3.4,2.16,2.21,2.83,0.99,4.95,0.0,3.55,0.0,4.95,4.8
2.3,2.3,3.42,2.19,2.21,2.84,1.0,4.93,0.0,3.59,0.0,4.93,4.8
2.3,2.36,3.38,2.21,2.17,2.83,1.0,5.05,0.01,3.55,0.0,4.95,4.84
2.28,2.31,3.4,2.17,2.19,2.83,1.0,4.99,0.01,3.64,0.0,4.93,4.72
2.3,2.34,3.45,2.17,2.21,2.81,0.99,4.89,0.0,3.58,0.0,5.01,4.95
2.28,2.34,3.41,2.2,2.16,2.85,1.0,4.99,0.0,3.5,0.0,4.86,4.84
2.29,2.36,3.4,2.15,2.24,2.83,1.01,4.95,0.01,3.55,0.0,4.86,4.86
2.34,2.39,3.41,2.13,2.24,2.85,1.01,4.95,0.0,3.54,0.0,4.86,4.86
2.29,2.41,3.41,2.14,2.24,2.85,1.0,4.99,0.0,3.46,0.0,4.89,4.84
2.3,2.36,3.42,2.09,2.25,2.84,1.02,5.07,0.01,3.51,0.0,4.93,4.84
2.3,2.38,3.35,2.14,2.21,2.84,1.02,5.01,0.0,3.5,0.0,4.89,4.86
2.29,2.36,3.38,2.11,2.21,2.75,0.99,4.99,0.0,3.5,0.0,4.89,4.8
2.3,2.36,3.4,2.16,2.2,2.88,1.02,4.99,0.0,3.5,0.0,4.86,4.8
2.3,2.34,3.4,2.13,2.19,2.81,0.99,4.93,0.0,3.58,0.0,4.84,4.78
2.31,2.38,3.35,2.16,2.15,2.81,0.98,4.95,0.0,3.54,0.0,4.89,4.8
2.25,2.39,3.46,2.14,2.21,2.88,1.01,5.01,0.0,3.55,0.0,4.86,4.8
2.3,2.36,3.41,2.15,2.25,2.79,0.96,4.99,0.0,3.59,0.0,4.84,4.84
2.33,2.4,3.41,2.14,2.2,2.81,0.96,4.99,0.0,3.54,0.0,4.86,4.86
2.33,2.35,3.4,2.14,2.26,2.88,0.98,5.05,0.0,3.55,0.0,4.89,4.84
2.33,2.38,3.41,2.14,2.21,2.89,0.98,4.95,0.0,3.5,0.0,4.8,4.8
2.3,2.36,3.4,2.15,2.2,2.84,0.99,5.1,0.01,3.59,0.0,4.86,4.84
2.33,2.33,3.36,2.11,2.25,2.85,0.98,5.01,0.0,3.54,0.0,4.95,4.86
2.29,2.35,3.38,2.15,2.21,2.84,1.02,4.95,0.01,3.54,0.0,4.86,4.8
2.31,2.36,3.4,2.15,2.2,2.83,0.99,4.86,0.01,3.58,0.0,4.99,4.89
2.31,2.35,3.4,2.2,2.21,2.83,1.01,4.95,0.0,3.63,0.0,4.95,4.84
