Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.55,2.41,3.06,4.93,5.97,7.39,2.8,2.21,0.0,5.1,0.0,3.92,4.66
2.54,2.41,3.1,4.84,5.81,5.44,2.71,2.22,0.0,5.18,0.0,3.96,4.66
2.63,2.45,3.19,5.05,6.05,7.5,2.95,2.26,0.0,5.14,0.0,3.99,4.72
2.63,2.47,3.17,5.05,6.1,7.63,2.97,2.29,0.01,5.2,0.0,4.01,4.78
2.63,2.47,3.19,4.99,6.18,7.69,2.96,2.28,0.0,5.24,0.0,4.03,4.8
2.72,2.55,3.31,5.3,6.5,8.21,3.11,2.35,0.01,5.51,0.0,4.21,5.05
2.61,2.45,3.19,5.05,6.1,7.63,2.99,2.26,0.0,5.2,0.0,3.99,4.8
2.63,2.46,3.14,5.01,6.05,7.56,2.97,2.26,0.0,5.14,0.0,3.94,4.75
2.59,2.42,3.11,4.93,5.89,7.28,2.58,2.26,0.0,4.24,0.0,3.64,4.59
2.59,2.31,2.97,4.35,5.78,7.28,2.63,2.24,0.0,5.07,0.0,3.86,4.59
2.64,2.49,3.2,5.05,6.22,7.56,2.64,2.3,0.0,5.2,0.0,4.03,4.8
2.65,2.47,3.19,5.05,6.1,7.75,2.63,2.28,0.0,5.2,0.0,3.94,4.75
2.58,2.42,3.11,4.95,5.93,7.5,2.63,2.21,0.0,5.1,0.0,3.74,4.59
2.59,2.44,3.1,4.99,5.97,7.39,2.51,2.25,0.0,5.07,0.0,3.76,4.64
2.63,2.44,3.14,5.05,6.01,7.44,2.45,2.25,0.01,5.07,0.0,3.8,4.61
2.6,2.41,3.13,5.01,5.97,7.44,2.36,2.26,0.01,5.1,0.0,3.86,4.59
2.54,2.35,3.04,4.86,5.81,7.1,2.35,2.21,0.0,4.93,0.0,3.78,4.5
2.59,2.39,3.13,4.99,6.01,7.21,2.4,2.25,0.0,5.01,0.0,3.84,4.56
2.55,2.33,3.05,4.86,5.78,7.1,2.05,2.22,0.0,4.95,0.0,3.8,4.47
2.65,2.41,3.15,5.1,6.1,7.56,2.1,2.25,0.0,5.1,0.0,3.94,4.72
2.63,2.38,3.08,4.95,5.93,7.39,2.58,2.26,0.0,5.01,0.0,3.86,4.56
2.55,2.36,3.11,4.99,5.93,7.28,1.74,2.26,0.0,5.01,0.0,3.88,4.56
2.56,2.36,3.06,4.99,5.93,7.16,2.15,2.25,0.0,4.95,0.0,3.84,4.53
