Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.72,3.01,3.99,2.45,2.13,2.58,1.08,5.97,1.41,2.84,0.0,3.58,3.51
2.69,2.97,3.94,2.45,2.15,2.61,1.06,5.89,1.45,2.84,0.0,3.59,3.47
2.67,2.97,3.94,2.47,2.15,2.59,1.08,5.93,1.42,2.84,0.0,3.59,3.55
2.66,2.97,3.94,2.44,2.17,2.61,1.08,5.97,1.41,2.83,0.0,3.61,3.51
2.71,2.99,3.92,2.47,2.15,2.63,1.01,5.93,1.46,2.84,0.0,3.64,3.55
2.71,2.97,3.96,2.49,2.15,2.64,1.09,5.97,1.39,2.89,0.0,3.58,3.55
2.65,2.92,3.99,2.49,2.16,2.61,1.08,5.97,1.46,2.83,0.0,3.59,3.51
2.64,2.96,3.94,2.47,2.17,2.59,1.09,5.93,1.49,2.85,0.0,3.59,3.54
2.64,2.94,3.94,2.46,2.16,2.64,1.09,5.93,1.49,2.83,0.0,3.58,3.51
2.67,2.96,3.92,2.49,2.15,2.6,1.05,5.93,1.49,2.83,0.0,3.58,3.5
2.65,2.96,3.94,2.46,2.17,2.61,1.04,5.97,1.48,2.84,0.0,3.59,3.54
2.71,2.99,3.94,2.47,2.15,2.63,1.01,5.97,1.48,2.85,0.0,3.58,3.51
2.7,2.95,3.9,2.47,2.15,2.63,1.02,5.97,1.49,2.85,0.0,3.61,3.51
2.74,2.99,3.94,2.47,2.16,2.61,1.02,5.97,1.49,2.84,0.0,3.59,3.5
2.72,2.97,3.92,2.46,2.16,2.64,0.4,5.93,1.49,2.88,0.0,3.59,3.51
2.75,2.97,3.92,2.45,2.17,2.63,0.39,5.97,1.5,2.84,0.0,3.66,3.55
2.74,2.99,3.94,2.46,2.16,2.63,0.39,5.97,1.49,2.89,0.0,3.64,3.58
2.46,2.78,3.24,2.15,1.94,2.4,0.38,4.66,1.42,2.71,0.0,3.33,2.96
2.72,2.96,3.94,2.47,2.16,2.61,0.4,5.89,1.44,2.85,0.0,3.64,3.55
2.67,2.94,4.01,2.46,2.15,2.61,0.4,5.81,1.34,2.81,0.0,3.64,3.55
2.71,2.88,3.64,2.21,2.1,2.59,0.4,5.93,1.4,2.81,0.0,3.61,3.47
2.74,2.96,3.94,2.42,2.11,2.55,0.4,5.93,1.24,2.81,0.0,3.64,3.55
2.74,2.97,3.92,2.46,2.09,2.53,0.4,5.93,1.38,2.84,0.0,3.64,3.54
2.71,2.96,3.92,2.41,2.08,2.53,0.4,5.81,1.11,2.81,0.0,3.61,3.47
2.7,2.95,3.9,2.45,2.11,2.55,0.39,5.89,1.35,2.8,0.0,3.61,3.51
2.7,2.94,3.92,2.45,2.11,2.55,0.4,5.89,1.41,2.83,0.0,3.61,3.5
2.65,2.96,3.92,2.44,2.11,2.53,0.4,5.89,1.4,2.83,0.0,3.63,3.47
2.74,2.97,3.9,2.3,2.04,2.5,0.4,5.74,0.91,2.74,0.0,3.36,3.45
2.74,3.03,3.9,2.45,2.1,2.53,0.39,5.93,1.29,2.79,0.0,3.59,3.51
2.74,2.97,3.9,2.46,2.13,2.54,0.39,5.89,1.38,2.78,0.0,3.61,3.46
2.72,2.96,3.88,2.46,2.11,2.38,0.4,5.81,1.06,2.74,0.0,3.58,3.41
2.74,2.95,3.92,2.41,2.11,2.56,0.39,5.89,1.19,2.76,0.0,3.59,3.41
2.69,2.95,3.88,2.44,2.11,2.53,0.39,5.89,1.34,2.7,0.0,3.58,3.41
2.63,2.95,3.88,2.46,2.09,2.5,0.4,5.85,1.38,2.74,0.0,3.58,3.41
2.65,2.96,3.72,2.3,1.91,2.42,0.39,5.1,1.31,2.7,0.0,3.54,3.35
2.6,2.96,3.84,2.51,2.13,2.51,0.98,5.97,1.3,2.7,0.0,3.42,3.36
2.59,2.94,3.86,2.54,2.13,2.5,0.99,5.93,1.29,2.66,0.0,3.45,3.38
2.61,2.99,3.88,2.51,2.1,2.49,1.01,5.93,1.27,2.67,0.0,3.46,3.38
2.61,2.97,3.61,2.49,2.03,2.5,1.0,5.69,1.21,2.34,0.01,3.41,3.24
2.59,2.99,3.86,2.51,2.09,2.5,1.02,5.97,1.27,2.7,0.0,3.47,3.36
2.64,2.94,3.88,2.51,2.09,2.49,1.01,5.97,1.29,2.69,0.0,3.46,3.4
